blue2red,blue2yellow
#3E2A68,#000004FF
#3E2B6A,#010005FF
#3E2C6C,#010106FF
#3E2E6E,#010108FF
#3E2F70,#020109FF
#3E3072,#02020BFF
#3E3274,#02020DFF
#3E3376,#03030FFF
#3E3578,#030312FF
#3E367B,#040414FF
#3E377D,#050416FF
#3E397F,#060518FF
#3E3A81,#06051AFF
#3E3C83,#07061CFF
#3E3D85,#08071EFF
#3E3E87,#090720FF
#3E4089,#0A0822FF
#3E418C,#0B0924FF
#3E438E,#0C0926FF
#3E4490,#0D0A29FF
#3E4592,#0E0B2BFF
#3E4794,#100B2DFF
#3E4896,#110C2FFF
#3E4A98,#120D31FF
#3E4B9A,#130D34FF
#3E4C9C,#140E36FF
#3E4E9F,#150E38FF
#3E4FA1,#160F3BFF
#3E51A3,#180F3DFF
#3E52A5,#19103FFF
#3E53A7,#1A1042FF
#3E55A9,#1C1044FF
#3F56AB,#1D1147FF
#3F58AD,#1E1149FF
#3F59B0,#20114BFF
#3F5AB2,#21114EFF
#3F5CB4,#221150FF
#3F5DB6,#241253FF
#3F5FB8,#251255FF
#3F60BA,#271258FF
#3F61BC,#29115AFF
#3F63BE,#2A115CFF
#3F64C0,#2C115FFF
#3F66C3,#2D1161FF
#3F67C5,#2F1163FF
#3F68C7,#311165FF
#3F6AC9,#331067FF
#3F6BCB,#341069FF
#3F6DCD,#36106BFF
#3F6ECF,#38106CFF
#3F6FD1,#390F6EFF
#3F71D4,#3B0F70FF
#3F72D6,#3D0F71FF
#3F73D8,#3F0F72FF
#3F75DA,#400F74FF
#3F76DC,#420F75FF
#3F78DE,#440F76FF
#3F79E0,#451077FF
#3F7AE2,#471078FF
#3F7CE4,#491078FF
#3F7DE7,#4A1079FF
#3F7FE9,#4C117AFF
#3F80EB,#4E117BFF
#3F81ED,#4F127BFF
#4083EE,#51127CFF
#4085EC,#52137CFF
#4186EB,#54137DFF
#4188E9,#56147DFF
#418AE7,#57157EFF
#428BE6,#59157EFF
#428DE4,#5A167EFF
#438FE2,#5C167FFF
#4390E0,#5D177FFF
#4492DF,#5F187FFF
#4494DD,#601880FF
#4595DB,#621980FF
#4597DA,#641A80FF
#4699D8,#651A80FF
#469AD6,#671B80FF
#479CD4,#681C81FF
#479ED3,#6A1C81FF
#489FD1,#6B1D81FF
#48A1CF,#6D1D81FF
#49A3CE,#6E1E81FF
#49A4CC,#701F81FF
#49A6CA,#721F81FF
#4AA8C8,#732081FF
#4AAAC7,#752181FF
#4BABC5,#762181FF
#4BADC3,#782281FF
#4CAFC2,#792282FF
#4CB0C0,#7B2382FF
#4DB2BE,#7C2382FF
#4DB4BC,#7E2482FF
#4EB5BB,#802582FF
#4EB7B9,#812581FF
#4FB9B7,#832681FF
#4FBAB6,#842681FF
#50BCB4,#862781FF
#50BEB2,#882781FF
#51BFB1,#892881FF
#51C1AF,#8B2981FF
#52C3AD,#8C2981FF
#52C4AB,#8E2A81FF
#52C6AA,#902A81FF
#53C8A8,#912B81FF
#53C9A6,#932B80FF
#54CBA5,#942C80FF
#54CDA3,#962C80FF
#55CEA1,#982D80FF
#55D09F,#992D80FF
#56D29E,#9B2E7FFF
#56D39C,#9C2E7FFF
#57D59A,#9E2F7FFF
#57D799,#A02F7FFF
#58D997,#A1307EFF
#58DA95,#A3307EFF
#59DC93,#A5317EFF
#59DE92,#A6317DFF
#5ADF90,#A8327DFF
#5AE18E,#AA337DFF
#5AE38D,#AB337CFF
#5BE48B,#AD347CFF
#5BE689,#AE347BFF
#5CE887,#B0357BFF
#5CE986,#B2357BFF
#5DEB84,#B3367AFF
#5DED82,#B5367AFF
#5FED81,#B73779FF
#61EC80,#B83779FF
#64EA7E,#BA3878FF
#66E97D,#BC3978FF
#69E87C,#BD3977FF
#6BE77A,#BF3A77FF
#6DE579,#C03A76FF
#70E478,#C23B75FF
#72E376,#C43C75FF
#75E175,#C53C74FF
#77E074,#C73D73FF
#7ADF72,#C83E73FF
#7CDE71,#CA3E72FF
#7FDC6F,#CC3F71FF
#81DB6E,#CD4071FF
#83DA6D,#CF4070FF
#86D96C,#D0416FFF
#88D76A,#D2426FFF
#8BD669,#D3436EFF
#8DD568,#D5446DFF
#90D366,#D6456CFF
#92D265,#D8456CFF
#95D163,#D9466BFF
#97D062,#DB476AFF
#99CE61,#DC4869FF
#9CCD60,#DE4968FF
#9ECC5E,#DF4A68FF
#A1CB5D,#E04C67FF
#A3C95B,#E24D66FF
#A6C85A,#E34E65FF
#A8C759,#E44F64FF
#ABC558,#E55064FF
#ADC456,#E75263FF
#AFC355,#E85362FF
#B2C254,#E95462FF
#B4C052,#EA5661FF
#B7BF51,#EB5760FF
#B9BE50,#EC5860FF
#BCBD4E,#ED5A5FFF
#BEBB4D,#EE5B5EFF
#C1BA4C,#EF5D5EFF
#C3B94A,#F05F5EFF
#C5B849,#F1605DFF
#C8B648,#F2625DFF
#CAB546,#F2645CFF
#CDB445,#F3655CFF
#CFB244,#F4675CFF
#D2B142,#F4695CFF
#D4B041,#F56B5CFF
#D7AF40,#F66C5CFF
#D9AD3E,#F66E5CFF
#DCAC3D,#F7705CFF
#DEAB3C,#F7725CFF
#E0AA3A,#F8745CFF
#E3A839,#F8765CFF
#E5A738,#F9785DFF
#E8A636,#F9795DFF
#EAA435,#F97B5DFF
#EDA334,#FA7D5EFF
#EFA232,#FA7F5EFF
#F2A131,#FA815FFF
#F49F30,#FB835FFF
#F69E2E,#FB8560FF
#F99D2D,#FB8761FF
#F99B2C,#FC8961FF
#F8992C,#FC8A62FF
#F7982B,#FC8C63FF
#F6962A,#FC8E64FF
#F5942A,#FC9065FF
#F49229,#FD9266FF
#F49129,#FD9467FF
#F38F28,#FD9668FF
#F28D28,#FD9869FF
#F18B27,#FD9A6AFF
#F08927,#FD9B6BFF
#EF8826,#FE9D6CFF
#EE8625,#FE9F6DFF
#ED8425,#FEA16EFF
#ED8224,#FEA36FFF
#EC8124,#FEA571FF
#EB7F23,#FEA772FF
#EA7D23,#FEA973FF
#E97B22,#FEAA74FF
#E87922,#FEAC76FF
#E77821,#FEAE77FF
#E67621,#FEB078FF
#E67420,#FEB27AFF
#E5721F,#FEB47BFF
#E4711F,#FEB67CFF
#E36F1E,#FEB77EFF
#E26D1E,#FEB97FFF
#E16B1D,#FEBB81FF
#E06A1D,#FEBD82FF
#DF681C,#FEBF84FF
#DE661C,#FEC185FF
#DE641B,#FEC287FF
#DD621B,#FEC488FF
#DC611A,#FEC68AFF
#DB5F19,#FEC88CFF
#DA5D19,#FECA8DFF
#D95B18,#FECC8FFF
#D85A18,#FECD90FF
#D75817,#FECF92FF
#D75617,#FED194FF
#D65416,#FED395FF
#D55216,#FED597FF
#D45115,#FED799FF
#D34F14,#FED89AFF
#D24D14,#FDDA9CFF
#D14B13,#FDDC9EFF
#D04A13,#FDDEA0FF
#D04812,#FDE0A1FF
#CF4612,#FDE2A3FF
#CE4411,#FDE3A5FF
#CD4311,#FDE5A7FF
#CC4110,#FDE7A9FF
#CB3F10,#FDE9AAFF
#CA3D0F,#FDEBACFF
#C93B0E,#FCECAEFF
#C93A0E,#FCEEB0FF
#C8380D,#FCF0B2FF
#C7360D,#FCF2B4FF
#C6340C,#FCF4B6FF
#C5330C,#FCF6B8FF
#C4310B,#FCF7B9FF
#C32F0B,#FCF9BBFF
#C22D0A,#FCFBBDFF
#C22C0A,#FCFDBFFF
